rating,reviewer_id,date,review_title,review_body
,WalmartCustomer,2025-03-23,,"It's very uncomfortable, took too long to ship, not worth the money, coils can be felt through top of the mattress %26 it doesn't fit in the twin XL bed frame l purchased from a competitor of Walmart since I couldn't find a single bed frame my daughter %26 I wanted to have delivered same or next day. Now I can't return it because it's been taken out of the vacuum seal so I'll just have to take the loss and purchase another mattress from somewhere else. Thanks for nothing Walmart"
,Raza,2025-11-07,,"This mattress is NOT RETURNABLE despite walmarts website sayin it is returnable. I received a used, damaged mattress. Walmart will only refund it if you can get it back into the box and that's impossible."
,Elias,2025-08-31,,"When I took the mattress out of the box, I was very pleased. Within a few weeks it had flattened permanently in the center. It is like a one inch foam pad"
,Ann,2025-11-22,,"Very thin with little support. Springs pushed right through the material. My seven year old only laid on it for a minute, it instantly went flat and he complained that it poked him."
,Pattie,2025-09-25,,***BED BUG WARNING *** I received 2 items from the Wal-Mart Warehouse with Bed Bugs Wal-Mart refuses to help me. I have spent $100s to get rid of the BEDBUGS and ZERO rcompensation. ***DO NOT BUY BEDDING ITEMS SHIPPED FROM WAL-MART WAREHOUSE ***
,Trudeau,2025-12-02,,"Bought these for grandchildren and their new bunk beds at Grammy and Papa's house. They love them, sleep well and are ready to come back. They pop open out of the box easily, and are full size in a day."
,Sharon,2025-11-29,,was the worst mattress i ever slept on. mattress was to thin and never completely filled out.material was loose on mattress. mattress had too much movement. itwas the worst. I had to purchase another mattress it was a waist of my money.
,anonymous,2025-10-13,,"The mattess itself is different…If u get any marker stain on it, it is hard to clean off, I tried to clean off a marker stain my baby cousin had put on my bed and it left a yellow colored stain on my bed and it won't go away."
,Beth,2025-11-01,,"The matress is comfortable. The only problem was that the unwrapping instructions were wrapped inside. I had to completely unwrap it to get the unwrapping instructions. They were funny, though."
,stephanie,2025-11-02,,bed was all but ready when taken out of box children like them for the bunkbeds good value for money elsewhere $15 $20 more plus shipping was free for this items it was a bed in box but was easy box was heavy thou.
,Melanie,2025-11-04,,"I got this to go under a mattress. But i know I would not want this to be my mattress I lay on. Very thin, probably feel the springs. This was inexpensive, tho, not worth it . Spend a bit more on something you can actually sleep on."
,hmandgprty4u,2025-09-13,,Every movement felt the inner springs. Had to buy mattresses topper. Had I known that I would have purchased a different one. I would not recommend this mattress.
,Brenda,2025-11-01,,"I bought this mattress for my grandson , it is very thin and you can feel the springs in it , definitely would not ever buy this again or recommend this to anyone either!!!"
,timothy,2025-07-21,,"I bought 2 of these for my kids. The product works great, especially for the price. I will be buying these again once these 2 are ruined. Im sure ill get a few good years out of them first tho."
,Pattie,2025-09-25,,***BED BUG WARNING *** I received 2 items from the Wal-Mart Warehouse with Bed Bugs Wal-Mart refuses to help me. I have spent $100s to get rid of the BEDBUGS and ZERO rcompensation. ***DO NOT BUY BEDDING ITEMS SHIPPED FROM WAL-MART WAREHOUSE ***
,Trudeau,2025-12-02,,"Bought these for grandchildren and their new bunk beds at Grammy and Papa's house. They love them, sleep well and are ready to come back. They pop open out of the box easily, and are full size in a day."
,Sharon,2025-11-29,,was the worst mattress i ever slept on. mattress was to thin and never completely filled out.material was loose on mattress. mattress had too much movement. itwas the worst. I had to purchase another mattress it was a waist of my money.
,anonymous,2025-10-13,,"The mattess itself is different…If u get any marker stain on it, it is hard to clean off, I tried to clean off a marker stain my baby cousin had put on my bed and it left a yellow colored stain on my bed and it won't go away."
,Beth,2025-11-01,,"The matress is comfortable. The only problem was that the unwrapping instructions were wrapped inside. I had to completely unwrap it to get the unwrapping instructions. They were funny, though."
,stephanie,2025-11-02,,bed was all but ready when taken out of box children like them for the bunkbeds good value for money elsewhere $15 $20 more plus shipping was free for this items it was a bed in box but was easy box was heavy thou.
